Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,47.000000,49.000000,46.950001,47.400002,47.400002,13795
2019-08-06,48.000000,48.500000,46.020000,47.980000,47.980000,6351
2019-08-07,47.750000,48.000000,43.020000,44.000000,44.000000,8372
2019-08-08,45.950001,45.950001,42.750000,43.000000,43.000000,6036
2019-08-09,42.020000,42.700001,40.060001,42.700001,42.700001,8117
2019-08-12,42.049999,42.049999,40.000000,40.900002,40.900002,6215
2019-08-13,40.500000,42.500000,39.849998,42.500000,42.500000,14042
2019-08-14,42.500000,42.500000,39.000000,39.000000,39.000000,9280
2019-08-15,38.599998,38.599998,37.509998,38.000000,38.000000,4984
2019-08-16,39.000000,41.000000,39.000000,40.000000,40.000000,4944
2019-08-19,41.250000,42.000000,41.000000,41.400002,41.400002,8398
2019-08-20,40.099998,41.480000,40.099998,41.430000,41.430000,680
2019-08-21,40.000000,40.099998,39.500000,39.500000,39.500000,3045
2019-08-22,null,null,null,null,null,null
2019-08-23,40.470001,40.470001,38.500000,38.500000,38.500000,2623
2019-08-26,38.250000,38.500000,37.250000,37.500000,37.500000,8569
2019-08-27,37.500000,37.500000,37.250000,37.349998,37.349998,2855
2019-08-28,37.450001,37.450001,36.000000,37.200001,37.200001,4708
2019-08-29,37.000000,37.000000,36.250000,36.250000,36.250000,2370
2019-08-30,36.099998,37.500000,36.099998,36.750000,36.750000,5641
2019-09-03,37.500000,38.500000,36.750000,36.750000,36.750000,8532
2019-09-04,36.599998,36.750000,36.200001,36.500000,36.500000,1093
2019-09-05,36.099998,36.750000,36.000000,36.049999,36.049999,7734
2019-09-06,36.750000,36.799999,36.349998,36.799999,36.799999,2807
2019-09-09,36.250000,36.799999,36.049999,36.049999,36.049999,6302
2019-09-10,36.000000,36.049999,35.500000,35.500000,35.500000,8348
2019-09-11,35.130001,35.500000,35.000000,35.500000,35.500000,2557
2019-09-12,35.499901,35.700001,35.130001,35.450001,35.450001,3286
2019-09-13,35.150002,35.150002,34.009998,34.009998,34.009998,12508
2019-09-16,35.000000,35.250000,34.009998,35.110001,35.110001,7031
2019-09-17,36.000000,39.799999,35.560001,39.799999,39.799999,34887
2019-09-18,40.000000,41.900002,39.770000,41.099998,41.099998,24604
2019-09-19,40.900002,41.849998,39.500000,40.900002,40.900002,29629
2019-09-20,40.900002,41.500000,40.000000,40.000000,40.000000,8671
2019-09-23,40.000000,40.000000,35.250000,35.250000,35.250000,10117
2019-09-24,35.000000,35.000000,27.450001,29.590000,29.590000,40954
2019-09-25,30.250000,30.250000,26.250000,27.000000,27.000000,22399
2019-09-26,26.990000,27.000000,23.934999,25.750000,25.750000,32799
2019-09-27,25.475000,25.900000,23.250000,23.500000,23.500000,18191
2019-09-30,22.500000,24.250000,21.500000,21.709999,21.709999,57690
2019-10-01,21.799999,24.150000,21.750000,22.760000,22.760000,29384
2019-10-02,23.780001,24.309999,23.500000,23.500000,23.500000,14130
2019-10-03,23.500000,24.200001,23.010000,23.010000,23.010000,8157
2019-10-04,23.900000,24.000000,23.049999,23.190001,23.190001,3965
2019-10-07,23.049999,24.790001,22.809999,24.500000,24.500000,23783
2019-10-08,24.950001,25.740000,24.209999,24.209999,24.209999,7351
2019-10-09,24.990000,33.299999,24.990000,31.500000,31.500000,38134
2019-10-10,31.500000,33.000000,29.660000,32.000000,32.000000,10122
2019-10-11,31.850000,31.850000,28.600000,31.000000,31.000000,8678
2019-10-14,29.600000,32.150002,29.600000,32.150002,32.150002,3049
2019-10-15,32.060001,36.990002,29.709999,29.709999,29.709999,13392
2019-10-16,29.549999,29.600000,28.000000,28.549999,28.549999,6686
2019-10-17,28.299999,29.600000,28.299999,28.900000,28.900000,3531
2019-10-18,28.900000,32.000000,28.900000,31.000000,31.000000,4062
2019-10-21,31.620001,33.000000,25.000000,25.139999,25.139999,7965
2019-10-22,25.889999,29.500000,25.889999,26.610001,26.610001,5503
2019-10-23,25.799999,26.500000,23.400000,26.200001,26.200001,9534
2019-10-24,27.120001,29.200001,27.120001,28.900000,28.900000,5423
2019-10-25,31.000000,32.799999,29.500000,32.450001,32.450001,23837
2019-10-28,32.500000,35.490002,31.299999,33.750000,33.750000,5968
2019-10-29,33.750000,33.950001,31.410000,33.950001,33.950001,8510
2019-10-30,33.000000,33.949902,30.760000,32.950001,32.950001,8211
2019-10-31,32.950001,34.000000,32.500000,34.000000,34.000000,3854
2019-11-01,35.006802,35.006802,32.500000,34.000000,34.000000,6752
2019-11-04,34.500000,37.939999,34.500000,37.500000,37.500000,17233
2019-11-05,37.509998,40.900002,37.509998,40.900002,40.900002,15617
2019-11-06,41.500000,41.500000,38.049999,39.250000,39.250000,8817
2019-11-07,38.750000,39.000000,38.000000,38.200001,38.200001,2940
2019-11-08,38.000000,38.000000,35.110001,36.209999,36.209999,18605
2019-11-11,36.000000,36.299999,34.990002,35.849998,35.849998,6241
2019-11-12,35.549999,35.549999,34.299999,35.500000,35.500000,4171
2019-11-13,37.299999,38.490002,36.000000,37.650002,37.650002,20087
2019-11-14,37.400002,37.400002,35.220001,37.000000,37.000000,1933
2019-11-15,36.500000,36.799999,35.299999,36.150002,36.150002,5673
2019-11-18,36.049999,36.549999,35.750000,36.500000,36.500000,5104
2019-11-19,36.500000,36.500000,35.209999,35.209999,35.209999,2863
2019-11-20,36.000000,36.299999,35.500000,35.500000,35.500000,1483
2019-11-21,35.250000,35.939999,33.860001,33.860001,33.860001,10554
2019-11-22,33.000000,33.200001,28.049999,31.000000,31.000000,46083
2019-11-25,31.000000,31.879999,31.000000,31.450001,31.450001,4845
2019-11-26,31.650000,32.619999,30.500000,30.610001,30.610001,7365
2019-11-27,30.805000,34.000000,30.805000,33.270000,33.270000,6400
2019-11-29,33.900002,34.750000,33.900002,33.900002,33.900002,2292
2019-12-02,33.950001,34.240002,32.099998,32.400002,32.400002,7704
2019-12-03,32.250000,32.500000,32.119999,32.200001,32.200001,1830
2019-12-04,32.750000,33.990002,32.750000,33.000000,33.000000,1214
2019-12-05,32.900002,32.900002,30.549999,30.549999,30.549999,7999
2019-12-06,31.990000,32.000000,31.000000,31.250000,31.250000,2056
2019-12-09,31.000000,31.250000,30.049999,30.049999,30.049999,6334
2019-12-10,30.150000,30.150000,29.000000,29.000000,29.000000,5091
